genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
Fstl4,0,2,0,0,0,0,0,4,1,0
Gm11186,0,0,0,0,0,0,0,0,0,0
Hspa4,10,30,32,36,27,6,0,9,18,42
Zcchc10,14,25,32,15,6,16,10,12,18,8
Aff4,81,165,112,38,175,29,36,61,67,100
Leap2,0,0,0,0,0,0,0,0,0,0
Uqcrq,40,49,104,61,102,41,55,68,51,91
Gdf9,0,1,0,1,0,2,4,0,12,10
Gm10447,0,0,0,0,0,0,0,0,1,0
Shroom1,45,25,71,42,30,15,3,41,10,4
Gm12212,0,0,0,0,0,1,0,0,0,0
Sowaha,2,0,13,1,4,0,1,2,3,0
Sept8,122,97,139,84,82,73,28,75,65,46
A430108G06Rik,0,0,0,0,0,0,0,0,1,0
Kif3a,59,164,255,144,239,20,90,91,92,124
Il4,3,0,12,4,5,0,2,1,0,2
Il13,0,0,1,0,0,0,0,0,0,0
Rad50,27,19,24,37,73,10,0,15,15,67
Il5,0,0,0,0,3,0,0,0,0,0
Gm12214,0,0,0,0,0,0,0,0,0,0
Irf1,11,77,17,26,37,35,43,18,0,24
Gm12216,0,5,8,3,0,0,0,0,0,1
Slc22a5,30,22,39,18,68,11,18,68,44,37
Slc22a21,0,0,0,0,10,0,5,22,6,12
Slc22a4,5,34,33,65,74,29,41,39,46,87
Pdlim4,9,70,25,26,55,18,29,24,37,73
P4ha2,2,21,32,22,19,0,26,6,13,26
X4933405E24Rik,0,0,0,0,0,0,0,0,0,0
Csf2,0,0,0,0,0,0,0,0,0,0
Gm12223,0,0,0,0,0,0,0,0,0,0
Il3,0,0,0,0,0,0,0,0,0,0
Acsl6,98,707,439,630,1268,249,475,378,486,1200
Gm12224,0,1,0,0,0,0,0,0,0,2
Meikin,0,0,0,0,0,0,0,0,0,0
Fnip1,51,94,111,81,101,4,65,32,114,53
Rapgef6,83,21,100,105,85,73,46,50,67,99
Cdc42se2,423,346,576,320,473,85,149,171,231,188
Gm12227,0,0,0,0,0,0,0,2,0,4
Lyrm7os,0,0,0,0,0,0,0,0,0,0
Lyrm7,0,12,27,35,16,5,5,3,28,11
Hint1,139,165,239,137,208,75,94,130,143,184
Gpx3,5,15,3,26,21,8,8,10,15,46
Tnip1,33,61,34,4,69,16,2,40,19,24
Anxa6,24,184,51,90,189,70,78,56,34,213
Ccdc69,1,0,0,0,7,0,0,0,0,4
Gm2a,241,285,432,287,529,184,278,231,334,514
Slc36a3,0,0,0,0,0,0,0,0,0,0
Slc36a3os,0,0,0,0,0,0,0,0,0,0
Slc36a2,1,0,7,0,0,0,0,0,0,0
Slc36a1os,0,0,0,0,0,0,0,0,0,0
Slc36a1,2,26,0,11,23,26,18,5,4,1
Fat2,0,0,0,0,0,0,0,0,0,0
Sparc,553,1269,1161,1254,1744,1060,1820,1053,1145,2464
Atox1,43,66,107,50,100,47,62,60,62,124
G3bp1,124,307,276,176,201,137,162,181,101,164
Gm12238,0,0,0,0,0,0,0,0,1,0
Glra1,0,0,0,0,0,0,0,0,0,0
Gm12236,0,0,0,0,0,0,0,0,0,0
Gm12239,0,0,0,0,1,0,0,0,0,0
Nmur2,0,0,0,0,0,1,0,0,0,0
Gria1,0,125,102,28,91,67,77,94,104,103
Fam114a2,83,108,148,62,89,42,37,46,39,41
Mfap3,86,241,92,66,166,90,92,54,93,112
