genes,KI_3,KI_4,KI_6,KI_7,KI_8,SAA_4,SAA_5,SAA_6,SAA_7,SAA_8
C1QA,28167,34382,31086,30541,28327,22734,23340,20817,24802,24454
C1QC,15413,19532,17892,17958,17036,14284,14362,12991,14791,15871
C1QB,32664,39916,36685,33545,33120,31280,29120,26768,32009,31200
EPHB2,805,1049,1203,1186,869,921,645,655,756,846
AL512444.1,25,35,12,35,20,19,18,9,27,20
LACTBL1,0,0,0,0,0,0,0,0,0,0
TEX46,1,2,0,0,2,0,0,0,0,0
KDM1A,471,751,685,631,461,716,532,363,590,589
AL031428.1,3,0,0,0,0,0,0,0,1,2
LUZP1,3513,4444,3637,4269,3870,3110,3273,2704,3088,3412
HTR1D,0,0,0,0,1,0,0,0,0,1
LINC01355,639,1154,810,1072,626,839,594,745,523,756
AL109936.6,7,11,4,7,5,4,11,3,16,8
HNRNPR,7049,8524,8286,7250,7245,6461,6690,5342,6684,6486
ZNF436,1138,1140,1185,836,909,863,716,692,863,801
ZNF436.AS1,77,109,233,144,56,112,112,79,83,103
AL109936.2,0,0,1,0,1,2,0,0,1,4
TCEA3,0,0,0,1,0,0,0,0,0,0
ASAP3,0,20,0,9,7,0,1,0,0,0
E2F2,18,57,32,19,33,46,43,35,61,51
AL021154.1,0,0,0,0,0,0,0,0,0,0
ID3,38,41,60,56,24,55,66,47,85,50
AL450043.1,0,0,0,0,0,0,0,0,0,0
MDS2,0,0,0,0,0,0,0,0,0,0
RPL11,2820,4031,4216,2903,2804,2908,3187,2233,2549,2837
ELOA.AS1,88,139,120,93,74,121,87,40,81,97
ELOA,3308,4046,3624,3376,3172,3042,3163,2184,2942,2797
PITHD1,191,241,145,293,226,181,128,135,251,236
LYPLA2,670,1050,967,937,820,827,804,486,695,659
GALE,723,793,865,750,689,756,771,560,735,709
HMGCL,1690,1984,2105,1598,1361,1397,1249,1295,1695,1449
FUCA1,4794,5741,5072,4512,5026,3491,2484,3542,3855,3813
CNR2,0,0,0,1,0,8,1,0,4,0
AL590609.3,1,0,0,1,0,0,0,0,0,0
PNRC2,4273,5990,5383,4924,4236,4662,4258,3376,4320,4581
SRSF10,5769,8378,7240,6979,6536,6249,5749,5190,6306,6633
AL591178.1,0,1,0,0,0,0,0,0,0,0
MYOM3,0,0,0,0,0,0,0,0,0,0
AL591178.2,0,0,0,0,0,0,0,0,0,0
IL22RA1,0,0,0,0,0,0,0,0,0,0
IFNLR1,20,80,41,9,41,78,36,25,71,61
LINC02800,0,0,0,0,4,0,1,2,0,1
AL138902.1,2,12,17,9,6,22,8,0,13,7
GRHL3,30,35,46,28,15,17,30,15,65,21
STPG1,177,314,275,164,224,212,249,214,265,271
NIPAL3,1141,1735,1582,1460,1264,1168,1136,1407,1615,1524
RCAN3AS,0,0,1,0,0,0,0,0,1,0
RCAN3,34,101,82,16,30,52,92,27,78,67
NCMAP.DT,0,0,0,0,0,0,0,0,2,0
NCMAP,0,1,32,0,0,1,0,6,65,5
SRRM1,10967,14756,14175,11507,10080,10089,10341,9517,12081,11926
AL445648.1,0,0,0,0,0,0,0,2,3,1
CLIC4,662,1197,968,681,714,702,413,581,649,705
RUNX3,494,376,454,563,586,291,279,291,259,360
AL445471.1,24,10,12,14,4,7,13,1,11,17
AL445471.2,0,0,0,6,0,0,2,2,0,0
LINC02793,0,0,0,0,0,0,0,0,0,0
AL050344.1,0,0,0,0,0,0,0,0,0,0
AL031432.1,0,0,0,1,0,0,0,0,0,2
SYF2,1618,2306,2435,1895,1924,1639,1580,1258,1698,1751
AL031432.4,87,207,220,139,96,202,112,102,164,83
AL031432.5,40,50,57,46,18,57,35,34,32,39
RSRP1,19329,29182,27416,23171,19088,21113,18901,18205,18665,21696
AL031432.3,3,6,0,1,4,1,2,7,0,2
RHD,33,47,89,34,40,45,44,33,36,43
TMEM50A,8427,10546,10412,8987,8628,7466,9259,6835,8730,8660
RHCE,2,0,1,2,0,0,0,1,8,2
MACO1,414,555,342,572,497,414,349,348,609,489
LDLRAP1,558,987,494,1064,819,514,286,375,1044,728
AL606491.1,27,27,54,37,27,37,31,21,28,34
MAN1C1,408,591,530,453,412,474,444,317,365,491
AL031280.1,30,44,18,43,26,36,24,32,27,69
SELENON,282,386,364,343,350,312,346,284,338,322
AL020996.1,32,19,47,21,25,17,14,14,45,31
MTFR1L,3762,4586,4785,4037,3808,3379,3390,2786,3886,3397
AL020996.3,0,0,0,0,0,0,0,0,0,0
AUNIP,85,68,64,39,24,26,30,33,34,40
AL033528.2,15,27,21,10,3,10,9,21,20,17
PAQR7,262,351,297,289,217,205,212,223,208,227
STMN1,4388,5872,6568,4478,4071,3659,4300,3841,4840,4429
PAFAH2,1178,1730,1380,1152,1067,847,1126,1068,1402,1020
EXTL1,11,14,2,10,7,2,11,1,7,18
SLC30A2,0,0,1,4,10,0,0,0,0,7
AL391650.2,0,0,0,0,0,0,0,0,0,0
TRIM63,0,0,6,0,0,0,0,1,0,0
PDIK1L,1975,3581,2824,2758,2092,2173,2003,2037,2371,2614
FAM110D,0,0,0,0,1,0,1,0,0,0
C1orf232,0,0,0,0,0,0,0,0,0,0
AL391650.1,15,8,7,6,18,14,11,10,18,18
ZNF593,0,0,0,0,0,0,0,0,0,0
CNKSR1,45,27,21,60,38,28,10,25,20,63
CATSPER4,0,0,0,0,0,0,0,0,0,0
CEP85,1778,2331,1696,1745,1649,1678,1599,1429,1730,1747
SH3BGRL3,3608,5212,5116,3645,3169,4253,4047,2950,3922,3702
UBXN11,1203,1448,1548,1417,1179,1135,1047,1017,1164,1128
CD52,0,0,1,0,0,0,3,0,3,1
CRYBG2,0,0,0,0,0,0,0,0,0,0
ZNF683,0,0,0,0,0,0,0,0,0,0
LIN28A,3,0,7,0,4,3,2,3,8,2
DHDDS,1258,1334,1360,993,1062,1166,1000,1020,1074,1058
AL513365.2,76,62,62,67,55,68,49,49,68,48
HMGN2,4470,6101,6100,4654,4178,4245,4227,3290,4417,4387
RPS6KA1,12629,18558,16932,15570,13389,12978,12044,10373,13163,11684
AL512408.1,0,4,12,6,3,2,1,5,5,6
ARID1A,3598,4511,4358,4238,4130,3962,3257,3082,3416,4220
PIGV,764,1179,1055,791,950,753,677,660,871,779
ZDHHC18,7,5,12,4,11,4,12,0,7,6
SFN,0,0,0,0,0,0,0,0,0,0
GPN2,443,540,312,678,495,382,129,312,439,488
AL034380.1,0,0,0,0,0,0,0,0,0,0
GPATCH3,435,608,605,465,581,383,412,473,462,510
NUDC,2241,3116,2520,2692,2298,2041,1879,1688,2230,2094
NR0B2,0,0,0,0,1,0,0,0,0,0
KDF1,0,1,8,0,0,8,1,0,0,0
TRNP1,0,0,0,0,0,0,0,0,0,0
TENT5B,0,3,1,0,2,0,0,0,0,0
SLC9A1,120,159,205,202,145,146,107,129,118,167
AL590640.1,0,3,0,0,0,0,0,0,0,0
WDTC1,182,354,267,334,199,237,124,156,312,275
TMEM222,1392,1868,1774,1483,1374,1394,1309,1093,1473,1353
SYTL1,0,0,0,0,0,0,0,3,0,0
MAP3K6,0,1,0,0,0,0,0,0,0,0
FCN3,0,0,0,0,0,0,0,0,1,0
CD164L2,0,0,0,0,0,0,0,0,0,0
GPR3,10,0,2,5,0,1,0,1,0,10
WASF2,12571,18546,15732,16852,13876,12790,9386,11356,13586,14038
FO393419.2,26,25,35,29,49,38,27,35,19,52
BX293535.1,26,47,46,12,24,23,15,22,20,22
AHDC1,224,230,181,217,194,162,153,123,166,185
FGR,16,27,41,0,24,49,33,55,115,37
LINC02574,0,2,0,0,0,2,1,0,0,0
IFI6,1774,1184,933,3202,2080,7817,728,975,1372,1905
AL445490.1,3,0,0,0,3,3,0,0,0,0
AL020997.5,0,0,0,14,11,1,6,1,0,6
FAM76A,960,1121,1249,1102,912,918,766,861,1001,874
STX12,2885,3291,3587,2707,2586,2821,2888,2322,3050,2876
AL020997.2,30,21,26,16,20,21,9,13,17,25
AL020997.3,25,46,62,33,50,40,31,18,38,20
AL020997.4,0,0,1,0,0,3,0,0,0,0
PPP1R8,1208,1438,1321,1160,1440,981,1011,828,890,987
THEMIS2,2808,3658,3549,3287,2704,2577,2477,2393,2714,2653
RPA2,3787,4255,4516,3883,3758,3298,3895,2807,3587,3735
SMPDL3B,13,4,16,0,2,10,7,17,6,0
AL512288.1,4,0,0,1,0,2,0,4,3,3
XKR8,72,114,136,126,73,93,45,46,81,89
EYA3,1083,2151,1252,1779,1425,1350,1219,1108,1283,1452
PTAFR,33731,48216,41744,41944,38083,33778,34896,28297,33202,32184
DNAJC8,3622,5018,4601,4228,3833,3851,4118,3133,3655,3722
ATP5IF1,2376,3685,3628,2958,2330,2806,2726,1988,2529,2658
AL353622.1,119,160,163,109,96,164,151,121,133,154
AL353622.2,7,16,1,14,6,10,15,9,14,13
SESN2,726,1082,632,922,1076,713,188,533,753,679
MED18,656,607,618,728,757,418,473,401,482,476
PHACTR4,1810,2668,2764,2285,2086,2195,2004,1717,1905,1832
RCC1,353,477,330,414,413,338,391,282,353,317
SNHG3,260,411,372,256,271,261,221,258,283,263
TRNAU1AP,875,1063,868,905,1007,860,776,712,969,885
SNHG12,346,674,466,627,639,363,386,501,489,671
TAF12,1221,1469,1422,1446,1348,1178,1331,981,1210,1242
RAB42,13,41,36,28,6,35,49,6,29,24
LINC01715,8,21,24,16,35,14,17,14,18,11
AL360012.1,3,5,5,5,17,2,10,7,1,6
GMEB1,743,1016,761,750,692,821,557,699,883,918
YTHDF2,5656,7669,6017,6202,6050,5330,2552,4120,6187,4962
OPRD1,42,137,77,47,118,106,74,47,67,83
AL009181.1,23,34,32,39,33,34,14,6,13,28
EPB41,2839,3624,3503,3760,3221,3573,2709,2373,2923,3209
TMEM200B,0,4,0,0,0,0,0,0,0,0
AL357500.1,0,0,0,0,0,0,0,0,0,0
SRSF4,1188,1548,1446,1669,1407,1379,1032,1061,1489,1562
MECR,352,421,341,403,328,342,322,277,457,348
AL590729.1,12,4,24,16,5,3,0,2,6,2
PTPRU,2,6,22,0,18,4,5,0,4,4
LINC01756,0,0,0,0,0,0,0,0,0,0
AC092265.1,0,0,0,0,0,0,0,0,0,0
AL645944.2,0,0,0,0,0,0,0,0,0,0
LINC01648,0,0,0,0,0,0,0,0,0,0
AL137076.1,0,0,0,0,0,0,0,0,0,0
AL161638.2,0,0,0,0,0,0,0,0,0,0
AL161638.1,0,0,0,0,0,0,0,0,0,0
MATN1,3,2,1,2,5,3,0,0,0,8
MATN1.AS1,57,111,80,97,118,90,67,76,94,113
AL137857.1,0,0,0,0,0,0,0,0,0,0
LAPTM5,129203,160854,149832,137148,138143,113359,120393,108419,132318,126506
AL137027.1,0,0,0,0,0,0,0,0,0,0
LINC01778,0,0,0,0,0,0,0,1,0,1
AL445235.1,0,0,1,0,0,0,0,0,0,0
SDC3,362,698,563,525,479,491,490,369,293,454
PUM1,6539,9896,8817,8219,7221,7096,6868,5420,6971,6537
NKAIN1,0,0,0,0,0,0,0,0,0,0
SNRNP40,1885,2373,2226,1981,2097,1784,1736,1459,1929,1899
ZCCHC17,891,1378,988,944,1095,798,885,764,912,816
AL451070.1,1,0,0,2,1,1,2,10,1,1
FABP3,67,172,126,75,56,151,183,57,126,216
SERINC2,2,0,0,0,0,0,0,0,1,0
LINC01226,0,0,1,0,0,0,0,0,0,0
AC114488.1,0,0,0,0,0,0,0,0,0,0
TINAGL1,4,1,2,2,1,1,0,4,4,0
HCRTR1,0,1,11,0,3,1,0,2,0,1
PEF1,749,1123,983,740,814,713,772,552,779,680
AC114488.2,4,2,13,0,0,4,0,1,2,3
AC114488.3,2,0,2,0,0,1,5,0,0,3
COL16A1,0,0,7,0,0,0,0,0,2,0
ADGRB2,0,0,0,0,0,0,0,0,0,0
AL354919.2,0,0,0,0,0,0,0,0,0,0
SPOCD1,0,0,0,0,0,0,1,0,0,1
AL354919.1,0,1,0,0,0,0,0,0,0,0
AL136115.2,0,10,11,11,4,8,11,0,10,10
PTP4A2,1286,1840,1861,1511,1230,1577,1379,1045,1358,1343
AL136115.1,0,9,23,15,7,18,7,6,9,11
AL136115.3,0,0,0,1,0,0,0,0,0,0
KHDRBS1,519,825,748,718,691,594,612,521,624,641
AL445248.1,16,61,25,38,26,31,32,12,28,38
TMEM39B,502,645,572,553,584,485,435,446,514,485
KPNA6,3223,4530,4018,3545,3514,3358,3246,2571,2927,3236
AL049795.2,0,0,0,0,0,0,0,0,0,0
TXLNA,5517,8055,6736,7532,5564,6209,5904,4771,5577,5667
CCDC28B,75,86,81,71,52,81,60,60,67,71
AL049795.1,8,12,11,4,4,5,4,8,8,2
IQCC,108,141,152,136,104,87,128,153,118,88
DCDC2B,15,60,31,26,41,17,16,10,27,16
TMEM234,529,838,797,745,590,566,637,561,526,662
EIF3I,2116,2565,2547,2124,1984,2072,1788,1495,2180,1965
FAM167B,0,0,1,0,0,1,4,0,0,0
LCK,0,0,1,0,0,0,0,0,0,0
HDAC1,3057,4033,4114,4056,3263,2937,2740,2411,3135,2930
MARCKSL1,10,0,0,16,4,1,6,3,7,7
AL109945.1,1,5,2,1,4,2,0,0,3,5
TSSK3,4,9,15,0,4,5,9,8,8,5
FAM229A,12,20,22,22,11,18,9,16,26,18
BSDC1,2601,4026,3838,3250,2554,2682,2731,2121,2666,2903
ZBTB8B,0,0,0,1,1,11,6,8,0,0
ZBTB8A,158,159,241,161,255,195,164,129,208,167
ZBTB8OS,636,745,908,646,645,647,596,520,628,704
RBBP4,4900,6636,6146,5010,4322,4746,4475,3638,4457,4574
SYNC,0,2,1,0,0,1,0,0,3,1
AC114489.1,0,0,0,0,0,0,0,0,0,0
KIAA1522,1,2,5,2,3,7,3,5,0,3
YARS,2018,2481,2480,2324,1772,1879,1741,1384,1836,1749
S100PBP,3275,4271,3685,3589,3643,2895,3276,2596,3331,3502
FNDC5,13,22,9,21,3,3,21,6,9,6
HPCA,0,0,0,0,0,1,0,0,0,0
TMEM54,2,0,1,0,2,3,0,2,0,1
AL031602.2,37,58,41,57,32,40,50,27,23,36
RNF19B,620,635,841,793,679,683,559,523,514,693
AL020995.1,34,54,61,33,67,78,38,50,42,69
AK2,6312,8403,7999,7135,6789,6430,6042,5430,6234,6485
AZIN2,5844,8087,8676,6718,5834,6542,5323,5425,7012,6223
TRIM62,49,96,88,103,91,64,58,46,106,106
AL662907.3,0,0,0,0,0,2,3,2,0,0
ZNF362,804,1048,1064,913,835,845,710,722,777,1015
AL513327.3,7,5,23,14,5,8,4,5,6,18
A3GALT2,0,0,0,0,0,1,1,1,1,0
AL513327.1,95,162,241,161,135,160,114,104,109,203
PHC2,1510,1813,1861,1739,1506,1408,1225,1198,1489,1580
AL513327.2,7,11,10,8,12,19,3,6,11,13
ZSCAN20,206,174,270,116,201,184,166,109,185,214
CSMD2,4,4,1,3,1,4,8,0,4,2
HMGB4,0,0,0,0,0,0,0,0,0,0
CSMD2.AS1,0,0,0,0,0,0,0,0,0,0
C1orf94,0,0,0,0,0,0,0,0,0,0
AC099565.1,0,0,0,0,0,0,0,0,0,0
SMIM12,1061,1670,1523,1393,1233,1252,1272,1235,1103,1262
GJB5,0,0,0,0,0,5,0,0,2,0
GJB4,0,0,1,0,0,3,0,0,0,0
AL121988.1,0,0,0,0,0,0,0,0,0,0
GJB3,0,2,0,0,0,0,0,0,0,0
GJA4,0,0,2,0,2,6,0,0,5,0
AL122010.1,0,0,0,0,0,0,0,0,0,0
DLGAP3,68,56,39,86,35,48,32,62,78,66
TMEM35B,5542,6911,6399,5586,5712,4832,5753,4591,5391,5443
ZMYM6,3594,4761,4022,4075,3832,3653,3647,2796,3896,3868
ZMYM1,879,1031,984,993,1085,804,750,640,761,984
AL590434.1,2,0,0,0,2,0,0,0,0,7
SFPQ,3643,4804,4878,4700,4462,4772,3905,3475,3981,5057
ZMYM4,1747,2488,2480,2436,2195,2215,2003,1479,1836,2179
ZMYM4.AS1,23,28,17,22,17,29,22,29,18,45
KIAA0319L,3485,5062,5294,4979,3772,4071,3780,3362,4130,4193
NCDN,347,711,456,506,389,479,448,302,434,403
AC004865.2,32,24,38,17,21,23,20,36,38,36
TFAP2E,59,80,60,49,72,53,34,57,69,46
PSMB2,1616,2554,2484,2046,1964,1998,1916,1551,2070,1972
C1orf216,519,732,534,608,575,556,190,375,478,435
CLSPN,225,342,220,327,174,316,272,217,286,252
AL354864.1,0,0,0,0,0,0,0,0,0,0
AGO4,991,1625,1347,1256,1087,1321,1253,972,1234,1341
AGO1,1879,2424,2308,2007,2417,1944,1936,1427,2615,2251
AL139286.3,5,25,10,50,19,4,1,2,10,17
AL139286.2,0,0,0,0,0,0,0,0,0,0
AGO3,944,1645,1213,2018,1558,1563,1057,829,1633,1443
AL138787.2,5,13,6,12,2,5,5,2,7,7
TEKT2,2,0,7,1,2,0,3,0,1,0
ADPRHL2,542,741,368,1015,725,597,159,422,998,665
COL8A2,1372,1991,1816,1784,1732,1420,1472,1190,1287,1378
TRAPPC3,2966,4254,3887,3971,3495,3055,3223,2389,3160,2812
MAP7D1,189,206,201,158,203,177,166,168,167,197
THRAP3,4829,7047,7211,6319,5211,5352,5315,4379,5814,5509
SH3D21,17,68,69,51,58,50,52,33,59,66
EVA1B,0,0,0,0,0,0,0,0,0,0
AL591845.1,0,8,18,10,6,23,31,2,12,19
STK40,554,756,678,615,576,568,567,453,605,579
LSM10,1315,1585,1564,1402,1198,1195,1261,944,1108,1089
OSCP1,102,103,107,149,103,96,93,89,95,76
MRPS15,895,1058,1068,973,900,824,981,624,778,779
CSF3R,27129,36488,37433,30831,28333,27065,26803,24300,29830,29768
AL596257.1,0,0,0,0,0,1,0,0,0,0
AC117945.2,0,0,0,0,0,0,0,0,0,0
AC117945.1,0,0,0,0,0,0,0,0,0,0
GRIK3,0,0,0,0,0,1,0,0,0,0
AL031430.1,0,0,0,0,0,0,0,0,0,0
AL353604.1,0,0,0,0,0,0,0,0,0,0
LINC01137,38,63,44,29,38,32,49,29,39,51
ZC3H12A,318,423,563,363,270,367,226,173,363,333
MEAF6,3154,4040,3802,3641,3166,3186,3153,2429,3347,3282
SNIP1,462,636,587,596,622,501,466,371,381,456
DNALI1,56,114,104,136,94,80,47,68,89,66
GNL2,2542,2971,3087,2470,2460,2652,2560,2198,2700,2481
AL513220.1,0,3,0,0,0,2,0,0,5,1
RSPO1,0,0,0,1,0,1,0,0,0,0
C1orf109,1131,1027,1273,1087,1084,952,917,875,1081,946
CDCA8,348,399,334,271,300,294,332,250,235,241
EPHA10,0,0,0,0,0,0,0,0,0,0
MANEAL,3,13,9,9,3,5,14,3,1,5
AL929472.3,0,0,0,0,0,0,0,0,0,0
YRDC,53,63,63,63,47,43,42,41,62,61
C1orf122,84,139,96,148,97,128,79,52,157,103
MTF1,977,1467,1288,1400,1403,1111,940,931,877,1167
AL929472.2,0,0,0,0,0,0,0,0,0,0
INPP5B,2145,2559,2410,2080,2107,2012,1821,1799,2063,2332
SF3A3,3375,4477,4197,3907,3496,3737,3403,2937,3636,3009
FHL3,277,243,269,236,262,178,150,193,211,208
UTP11,1611,1944,1608,1468,1510,1551,1451,1248,1672,1475
POU3F1,1,5,21,0,10,7,4,3,20,2
MIR3659HG,0,0,0,0,0,0,0,0,0,0
LINC02786,0,0,0,0,0,0,0,0,0,0
AL390839.1,0,0,0,0,0,0,0,0,0,0
AL390839.2,0,0,0,0,0,0,0,0,0,0
LINC01343,0,0,0,0,0,0,0,0,0,0
LINC01685,0,0,0,0,0,0,0,0,0,0
AL354702.2,0,0,0,0,0,0,0,0,0,0
RRAGC,371,629,505,470,427,505,379,299,354,401
AL139260.1,44,29,34,32,18,29,24,10,31,23
MYCBP,1112,1385,1535,1304,1012,1124,1189,792,1040,1040
GJA9,33,40,14,22,24,11,6,15,16,22
RHBDL2,15,13,17,19,5,10,6,15,6,8
AKIRIN1,610,935,725,757,730,639,532,484,670,714
NDUFS5,956,1229,1277,1140,944,1061,1025,826,973,1020
MACF1,16373,21663,19601,20445,16802,18029,16207,13717,16554,19107
AL356055.1,20,33,32,50,15,23,26,41,39,44
AL442071.2,28,8,15,1,14,11,14,16,29,25
AL442071.1,11,5,12,9,7,7,8,5,7,9
BMP8A,207,426,358,309,190,337,265,241,301,307
PABPC4,784,1414,1338,1017,1150,1007,1075,939,1108,1112
PABPC4.AS1,11,9,15,15,17,11,16,16,25,14
HEYL,1,11,1,5,1,9,0,7,3,5
AL035404.2,0,0,0,0,0,0,0,0,0,0
NT5C1A,0,0,0,0,0,0,0,0,0,0
HPCAL4,1,0,0,0,0,0,0,0,0,0
PPIE,1770,2172,2201,1781,1642,1772,1490,1355,1589,1755
BMP8B,13,19,12,6,28,14,8,7,32,12
OXCT2,0,0,0,0,0,0,1,0,0,0
BMP8B.AS1,0,0,0,0,0,0,0,0,0,1
AL033527.3,0,0,0,4,0,0,0,1,0,0
AL033527.4,5,8,1,2,1,3,1,5,0,5
LINC02811,1,1,1,0,2,0,0,2,0,3
TRIT1,759,852,1191,927,886,800,756,709,813,791
MYCL,313,341,270,586,376,167,151,181,579,301
AL033527.2,3,0,3,6,0,0,0,0,0,0
MFSD2A,1000,1152,1113,806,695,951,790,861,810,1076
CAP1,10734,14532,13676,11397,10754,10829,11334,8938,11803,11227
PPT1,50901,63875,58374,58964,55526,43911,52754,41152,50260,49728
RLF,2067,2729,2279,2167,2318,1835,1797,1606,2110,1919
TMCO2,2,0,0,2,0,0,0,0,0,4
AL050341.2,296,475,606,399,273,331,296,407,367,359
ZMPSTE24,5589,7857,6528,6030,6351,4974,5273,4439,5038,5453
COL9A2,2802,4617,3982,3708,2690,3095,2960,2581,3212,3320
SMAP2,10059,17135,8918,13798,13610,10845,3651,9109,14501,12680
AL031985.4,7,1,0,6,4,12,0,1,12,5
ZFP69B,207,226,102,243,184,161,140,77,166,181
AL031985.3,213,232,187,275,193,166,110,136,182,192
ZFP69,151,182,123,175,78,145,81,105,152,140
AL603839.3,21,20,21,33,9,25,17,17,13,15
EXO5,274,337,308,277,262,199,277,201,255,205
AL603839.1,0,1,0,0,0,0,1,0,0,0
AL603839.2,11,22,12,11,6,5,4,3,7,11
ZNF684,471,439,387,372,309,368,301,334,414,387
AL356379.2,0,0,0,0,0,0,0,0,0,0
RIMS3,346,410,494,550,296,344,372,293,305,438
AL031289.2,6,4,13,14,1,6,2,5,0,2
AL031289.1,4,7,6,1,2,7,1,4,1,5
NFYC.AS1,50,116,83,85,62,111,38,104,73,64
NFYC,1868,2611,2431,2015,1807,1799,1913,1681,2293,2341
KCNQ4,2,0,0,3,0,2,0,0,0,1
CITED4,1,20,10,8,2,5,6,14,12,11
AC119677.1,0,0,0,0,0,0,0,0,0,0
AL391730.2,0,0,0,0,1,0,0,0,0,0
CTPS1,1461,1840,1429,1613,1492,1446,1315,931,1365,1296
SLFNL1.AS1,20,21,27,16,9,24,25,10,17,25
SLFNL1,27,34,40,63,29,52,17,18,51,24
SCMH1,342,270,309,266,232,255,345,223,269,297
AC093151.8,0,0,0,0,0,0,0,12,0,0
AC093151.3,0,0,1,0,0,2,6,0,2,0
FOXO6,0,0,0,0,0,0,0,0,0,0
AC093151.2,0,0,0,0,0,0,0,0,0,0
EDN2,0,0,0,0,0,0,0,0,0,0
HIVEP3,1692,2220,2123,1811,1624,2104,1575,1430,1956,2016
AL445933.2,0,2,8,3,2,0,0,6,2,0
AC119676.1,0,0,0,0,0,0,0,0,0,0
AL158216.1,0,0,1,2,0,1,0,2,1,2
GUCA2B,0,0,0,0,0,0,0,0,0,0
GUCA2A,0,0,0,0,0,0,0,0,0,0
FOXJ3,1823,3017,1325,2495,2382,1967,910,1495,2446,2065
AC096540.1,2,7,7,11,3,7,4,9,6,6
RIMKLA,1,0,0,12,12,0,1,26,1,0
ZMYND12,66,41,59,18,54,34,62,32,70,62
PPCS,3058,4156,3877,3348,2774,2737,2715,2382,3278,2955
CCDC30,340,600,482,469,283,535,360,301,223,459
PPIH,500,660,592,574,534,427,407,393,441,478
AC098484.4,83,131,126,118,88,136,69,99,114,146
AC098484.2,8,5,3,9,26,3,3,7,8,10
YBX1,563,811,778,658,583,655,680,444,611,680
CLDN19,0,0,0,0,0,0,0,0,0,7
P3H1,402,507,376,479,338,339,359,289,339,351
C1orf50,738,939,794,758,795,766,693,617,716,686
AC098484.1,0,0,0,0,0,0,0,0,0,0
TMEM269,100,144,159,102,95,94,83,61,111,72
SVBP,2080,2478,2669,2179,1907,1833,1894,1373,1980,1872
ERMAP,2743,3274,3367,2888,2948,2400,2273,2165,2907,2772
AL512353.1,289,295,446,281,294,314,216,237,346,288
ZNF691,2023,2576,2236,2052,1836,1649,1624,1573,2090,1847
SLC2A1,320,326,322,244,249,186,148,192,193,233
SLC2A1.AS1,0,0,4,0,0,0,0,1,6,5
AC099795.1,0,0,0,0,0,0,0,0,0,0
FAM183A,10,6,26,8,11,16,6,8,10,13
EBNA1BP2,846,1211,1289,898,664,779,899,738,942,883
CFAP57,0,0,1,0,12,4,2,0,14,10
TMEM125,0,0,0,0,0,0,0,2,0,0
C1orf210,0,0,0,0,0,0,0,0,0,0
TIE1,10,7,6,36,0,8,1,8,6,11
MPL,2,3,0,0,0,1,0,1,0,0
AL139289.3,0,0,0,0,0,0,0,0,0,0
AL139289.2,13,9,15,7,14,8,8,5,10,27
CDC20,164,331,382,221,187,333,315,190,224,226
ELOVL1,4808,6384,5380,5360,5201,4633,5056,3856,4386,4540
MED8,1550,1778,1785,1553,1609,1330,1398,1127,1341,1470
AL139289.1,22,30,33,15,33,18,35,38,29,43
SZT2,2307,3620,3792,2906,2998,2935,2451,2306,2786,2796
SZT2.AS1,0,0,0,0,0,0,0,0,1,1
HYI,0,0,0,0,0,0,0,0,0,0
HYI.AS1,6,9,4,7,0,8,3,9,4,3
PTPRF,0,4,0,0,0,0,0,1,0,0
KDM4A,1470,2190,1943,1532,1558,1388,1219,1270,1740,1518
KDM4A.AS1,60,113,171,122,179,69,62,73,50,108
ST3GAL3,232,428,333,452,288,355,253,344,410,336
AL451062.1,0,1,1,0,2,11,6,2,5,3
ARTN,0,0,5,1,0,0,0,0,0,0
AL357079.1,23,49,43,35,27,39,10,42,23,41
IPO13,903,1425,1090,1219,971,957,937,742,902,835
AL357079.2,1,8,0,0,0,1,0,0,0,4
DPH2,733,983,1033,867,814,875,713,703,915,896
ATP6V0B,11808,16378,13245,15305,14354,11282,11444,10476,12243,12696
B4GALT2,15,27,14,21,8,17,11,17,7,10
CCDC24,133,210,190,183,188,171,142,129,182,176
SLC6A9,9,13,3,5,0,0,11,6,3,8
AL139220.2,78,75,54,156,93,86,109,101,102,184
KLF17,1,0,3,39,9,19,0,3,2,26
KLF18,2,0,0,0,0,0,0,0,0,0
DMAP1,1906,2466,2506,2148,1953,1854,1489,1453,2005,2018
ERI3,504,625,638,587,521,448,485,408,532,465
ERI3.IT1,2,2,0,3,0,5,3,0,0,0
RNF220,176,312,399,333,261,263,271,229,194,278
TMEM53,185,201,164,198,166,145,170,157,158,224
ARMH1,7,21,12,4,6,17,16,3,11,13
KIF2C,146,175,256,108,129,158,242,97,170,160
AL592166.1,0,1,4,0,2,1,2,4,4,1
RPS8,2540,3713,3975,2632,2234,2441,2745,1908,2255,2612
BEST4,3,6,0,6,2,0,0,4,5,14
PLK3,187,202,246,219,255,198,161,173,245,234
TCTEX1D4,0,0,0,2,1,1,0,1,0,1
BTBD19,151,192,183,185,156,179,159,165,251,212
PTCH2,215,218,266,234,179,172,167,177,171,276
EIF2B3,1306,1769,1436,1567,1329,1242,1244,998,1349,1266
HECTD3,328,643,420,477,541,411,391,296,573,474
UROD,1705,2635,2547,2077,1970,1921,1937,1616,1930,2025
ZSWIM5,0,1,9,0,0,0,1,0,5,1
LINC01144,24,58,44,18,38,26,16,19,28,26
